pathway0	pathway	GeneID	Gene	Order	Gene_long	Comment	pathway_2	Order2
AOM & Other (Vulcano et al, 2022)	AOM & Other (Vulcano et al, 2022)	K00399	mcrA	A	methyl-CoM reductase (Mcr) alpha subunit	EC:2.8.4.1	AOM & Other (Vulcano et al, 2022)	1
AOM & Other (Vulcano et al, 2022)	AOM & Other (Vulcano et al, 2022)	K00400	K00400	A	methyl coenzyme M reductase system, component A2		AOM & Other (Vulcano et al, 2022)	2
AOM & Other (Vulcano et al, 2022)	AOM & Other (Vulcano et al, 2022)	K00401	mcrB	A	methyl-coenzyme M reductase beta subunit	EC:2.8.4.1	AOM & Other (Vulcano et al, 2022)	3
AOM & Other (Vulcano et al, 2022)	AOM & Other (Vulcano et al, 2022)	K00402	mcrG	A	methyl-coenzyme M reductase gamma subunit	EC:2.8.4.1	AOM & Other (Vulcano et al, 2022)	4
AOM & Other (Vulcano et al, 2022)	AOM & Other (Vulcano et al, 2022)	K03421	mcrC	A	methyl-coenzyme M reductase subunit C		AOM & Other (Vulcano et al, 2022)	5
AOM & Other (Vulcano et al, 2022)	AOM & Other (Vulcano et al, 2022)	K03422	mcrD	A	methyl-coenzyme M reductase subunit D		AOM & Other (Vulcano et al, 2022)	6
AOM & Other (Vulcano et al, 2022)	AOM & Other (Vulcano et al, 2022)	K00577	mtrA	A	Methyl-H4M(S)PT:HS-CoM methyltransferase(Mtr) subunitA	EC:2.1.1.86	AOM & Other (Vulcano et al, 2022)	7
AOM & Other (Vulcano et al, 2022)	AOM & Other (Vulcano et al, 2022)	K00578	mtrB	A	tetrahydromethanopterin S-methyltransferase subunit B	EC:2.1.1.86	AOM & Other (Vulcano et al, 2022)	8
AOM & Other (Vulcano et al, 2022)	AOM & Other (Vulcano et al, 2022)	K00579	mtrC	A	tetrahydromethanopterin S-methyltransferase subunit C	EC:2.1.1.86	AOM & Other (Vulcano et al, 2022)	9
AOM & Other (Vulcano et al, 2022)	AOM & Other (Vulcano et al, 2022)	K00580	mtrD	A	tetrahydromethanopterin S-methyltransferase subunit D	EC:2.1.1.86	AOM & Other (Vulcano et al, 2022)	10
AOM & Other (Vulcano et al, 2022)	AOM & Other (Vulcano et al, 2022)	K00581	mtrE	A	tetrahydromethanopterin S-methyltransferase subunit E	EC:2.1.1.86	AOM & Other (Vulcano et al, 2022)	11
AOM & Other (Vulcano et al, 2022)	AOM & Other (Vulcano et al, 2022)	K00582	mtrF	A	tetrahydromethanopterin S-methyltransferase subunit F	EC:2.1.1.86	AOM & Other (Vulcano et al, 2022)	12
AOM & Other (Vulcano et al, 2022)	AOM & Other (Vulcano et al, 2022)	K00583	mtrG	A	tetrahydromethanopterin S-methyltransferase subunit G	EC:2.1.1.86	AOM & Other (Vulcano et al, 2022)	13
AOM & Other (Vulcano et al, 2022)	AOM & Other (Vulcano et al, 2022)	K00584	mtrH	A	tetrahydromethanopterin S-methyltransferase subunit H	EC:2.1.1.86	AOM & Other (Vulcano et al, 2022)	14
AOM & Other (Vulcano et al, 2022)	AOM & Other (Vulcano et al, 2022)	K00320	mer	A	Methylene-H4M(S)PT reductase(Mer)	EC:1.5.98.2 (1.5.99.11)	AOM & Other (Vulcano et al, 2022)	15
AOM & Other (Vulcano et al, 2022)	AOM & Other (Vulcano et al, 2022)	K13812	fae-hps	A	bifunctional enzyme fae/hps	EC:4.2.1.147 4.1.2.43	AOM & Other (Vulcano et al, 2022)	16
AOM & Other (Vulcano et al, 2022)	AOM & Other (Vulcano et al, 2022)	K00297	metF, MTHFR	A	methylenetetrahydrofolate reductase (NADPH)	EC:1.5.1.20	AOM & Other (Vulcano et al, 2022)	17
AOM & Other (Vulcano et al, 2022)	AOM & Other (Vulcano et al, 2022)	K00319	mtd	A	Methylene-H4M(S)PT dehydrogenase(Hmd)	EC:1.5.98.1 (1.5.99.9)	AOM & Other (Vulcano et al, 2022)	18
AOM & Other (Vulcano et al, 2022)	AOM & Other (Vulcano et al, 2022)	K01499	mch	A	Methenye-H4M(S)PT cyclohydrolase(Mch)	EC:3.5.4.27	AOM & Other (Vulcano et al, 2022)	19
