BinID	Cluster
AMOR20_M0627	AMOR20_M0627
AMOR20_M0977	AMOR20_M0977
Flange_M5_B22	Flange_M5_B22
HC21_M1544	HC21_M1544
HC21_M1557	HC21_M1557
Mohns_M84_B74	Mohns_M84_B74
Barite_M1_B14	Barite_M1_B14
AMOR20_M1018	AMOR20_M1018
AMOR20_M1019	AMOR20_M1019
Mohns_M84_B110	Mohns_M84_B110
INS_M31_B39	INS_M31_B39
Mohns_M84_B51	Mohns_M84_B51
Barite_M2_B12	Barite_M2_B12
Barite_M3_B12	Barite_M3_B12
Barite_M33_B91	Barite_M33_B91
bin_28	bin_28
AMOR20_M0231	AMOR20_M0231
AMOR20_M0831	AMOR20_M0831
HC21_M1445	HC21_M1445
AMOR20_M0919	AMOR20_M0919
AMOR20_M0920	AMOR20_M0920
Mohns_M84_B71	Mohns_M84_B71
Mohns_M84_B82	Mohns_M84_B82
Mohns_M83_B87	Mohns_M83_B87
INS_M23_B18	INS_M23_B18
INS_M7_B47	INS_M7_B47
bin_164	bin_164
INS_M19_B74	INS_M19_B74
Mohns_M83_B148	Mohns_M83_B148
Aegir_M38_B4	Aegir_M38_B4
Aegir_M39_B45	Aegir_M39_B45
AMOR20_M1057	AMOR20_M1057
INS_M19_B55	INS_M19_B55
INS_M20_B4	INS_M20_B4
INS_M21_B55	INS_M21_B55
INS_M34_B68	INS_M34_B68
Mohns_M83_B56	Mohns_M83_B56
Mohns_M83_B21	Mohns_M83_B21
Mohns_M83_B473	Mohns_M83_B473
Aegir_M38_B90	Aegir_M38_B90
Aegir_M39_B54	Aegir_M39_B54
AMOR20_M0004	AMOR20_M0004
AMOR20_M0005	AMOR20_M0005
Mohns_M83_B247	Mohns_M83_B247
Mohns_M83_B413	Mohns_M83_B413
bin_40	bin_40
bin_70	bin_70
bin_83	bin_83
Mohns_M84_B127	Mohns_M84_B127
INS_M19_B89	INS_M19_B89
INS_M21_B75	INS_M21_B75
Barite_M33_B83	Barite_M33_B83
Mohns_M83_B76	Mohns_M83_B76
INS_M21_B189	INS_M21_B189
Mohns_M83_B445	Mohns_M83_B445
Flange_M5_B38	Flange_M5_B38
Barite_M4_B48	Barite_M4_B48
Barite_M2_B26	Barite_M2_B26
INS_M14_B57	INS_M14_B57
INS_M10_B59	INS_M10_B59
INS_M11_B44	INS_M11_B44
INS_M12_B72	INS_M12_B72
Chimney19_Bin_00366	Chimney19_Bin_00366
Barite_M2_B29	Barite_M2_B29
Barite_M4_B44	Barite_M4_B44
Barite_M1_B69	Barite_M1_B69
Chimney19_MAG_00329	Chimney19_MAG_00329
Barite_M1_B78	Barite_M1_B78
INS_M14_B50	INS_M14_B50
Flange_M5_B8	Flange_M5_B8
Barite_M2_B22	Barite_M2_B22
Barite_M4_B1	Barite_M4_B1
Barite_M1_B61	Barite_M1_B61
Barite_M3_B26	Barite_M3_B26
